tour_id,title,rating,n_reviews,duration,is_pickup_offered,is_risk_free_cancellation,overview,starting_price_usd,duration_type
11,"Private Charter: 3-Hour Sailing Experience on San Francisco Bay",NULL,0,3.0,0,1,"This is a 3+ hour Private Charter Sailing Experience on San Francisco Bay for you and up to 5 of your guests (6 total passengers) with a USCG licensed captain and crew where you'll sail past the Golden Gate Bridge, Alcatraz and Angel Islands and across the San Francisco waterfront. This Sailing Experience is "interactive" which means we want you to get the full experience of sailing so you'll have an opportunity to take the helm and steer your course. It's all part of an unforgettable sailing experience you wont get anywhere else.. You will see and be able to photograph beautiful scenery and may also experience a close encounter with some of the local wildlife that calls the bay home. Sailing SF Bay Experiences are aimed at creating lifelong memories for you while showcasing the beauty and diversity of our area.",768.27,"1-4 hours"
12,"Wine and Dine on a Century Old Sausalito Yacht",NULL,0,3.0,1,1,"Perfect for romantic evenings, private dinner parties, family brunches, business lunches, personal wellness retreats, and photo shoots. You tell us what you want to eat and drink and we will work with our network of local chefs to create a menu -- you are also welcome to simply rent the boat and bring your own food and beverages. Nearly a century old, this 3-cabin yacht exudes timeless elegance. With abundant natural light, views of the mountains, and the subtle swaying of bay waters, it is a retreat space that calms the senses and soothes the soul. The teak interior includes a quaint kitchenette, two bathrooms three small gathering spaces. At the rear of the boat is a cozy open-air space that seats four, with a roof overhead for protection from the elements. There's also room for 4 to 6 people to gather on the front of the boat. Base pricing noted here is for use of the space; contact us to decide on a menu and determine additional pricing for food and drink.",348.00,"1-4 hours"
13,"Private Charter: 2-Hour Sailing Experience on San Francisco Bay",NULL,0,2.0,0,1,"This is a Private Charter Sailing Experience on San Francisco Bay for up to 6 guests, with a USCG licensed captain and crew where you'll sail past the Golden Gate Bridge, Alcatraz and Angel Islands and across the San Francisco waterfront. This experience is "interactive" which means we want you to get the full experience of sailing so you'll have an opportunity to take the helm and steer your course. It's all part of an unforgettable sailing experience you wont get anywhere else.. You will see and be able to photograph beautiful scenery and may also experience a close encounter with some of the local wildlife that calls the bay home. Sailing SF Bay Experiences are aimed at creating lifelong memories for you while showcasing the beauty and diversity of our area.",682.43,"1-4 hours"
14,"San Francisco 2-Hour Double Decker City Tour",NULL,0,2.0,0,1,NULL,54.09,"1-4 hours"
15,"Golden Gate Bridge Guided Bike Tour by Unlimited Biking",NULL,0,3.0,0,1,NULL,59.89,"1-4 hours"
16,"Mission District Food & History Walking Tour",NULL,0,3.5,0,1,NULL,78.70,"1-4 hours"
17,"San Francisco Grand City Tour",NULL,0,NULL,0,1,NULL,54.85,"1-4 hours"
18,"San Francisco Night Tour",NULL,0,1.5,0,1,NULL,39.00,"1-4 hours"
19,"Painted Ladies San Francisco City Tour",4.9,1294,2.0,0,1,"Come jump on a city tour with us to cruise through some of the 15 top city highlights including Union Square, Chinatown, North Beach, Hayes Valley, Golden Gate Park, the Haight/Ashbury, Western Addition, Civic Center and The Marina. Also, you get 3 stops for photo ops at landmarks such as The Golden Gate Bridge, Painted Ladies and Palace Of Fine Arts (shhhh ...on occasion you might see us driving down that crooked Lombard Street if traffic permits). Fun fun fun! Bonus is you will be transported in one of our vintage VW buses while rocking out to classic hit songs of the 60's-70's (Pearl, Poppy, Skye and Rosie). Please arrive at the pick up location 10 min prior so we can depart on time as we have lots to cover in the city. Thank you!",70.00,"1-4 hours"
20,"San Francisco Love Tour",4.9,1928,2.0,0,1,"For an unforgettable City Sightseeing tour, hitch a ride in a 1970's VW Hippie bus. This is an authentic and unique way to experience San Francisco. This tour is packed with with facts and fun about San Francisco!",73.95,"1-4 hours"
21,"Inside Alcatraz and Golden Gate Bridge Express Visit",4.6,128,3.0,0,0,"Enjoy two same day San Francisco experiences a round trip express excursion to the Golden Gate Bridge (SF side) by minibus from Fisherman Wharf with an assigned time visit inside Alcatraz cellhouse. Basic Tour departs Fisherman's Wharf to experience 45 minutes at the Golden Gate Bridge (SF side). There is also an option to upgrade in advance to visit the other side of the bridge in addition to San Francisco side or to choose a small group van experience. No food included. Guests can upgrade to the "Walk The Bridge with Brunch" option where we drop guests at the other side of the bridge to which guests have TWO HOURS to walk back to the San Francisco side. Their efforts are rewarded with a $10 brunch credit and pick up at the Bridge Restaurant. Light History Narration and Television Monitor Documentaries will be provided. Guests will be dropped off directly at Pier 33 Alcatraz or Wharf. Some dates may start with Alcatraz followed by Golden Gate Bridge.",80.70,"1-4 hours"
22,"San Francisco Walking Food Tour With Secret Food Tours",4.8,427,3.5,0,1,"On our Secret Food Tour: San Francisco, the Mission District, you'll see how immigrants shaped the neighborhood by creating brilliant artwork, beautiful architecture and sharing their fantastic food! Originally home to Irish, German, and Italian immigrants, it is now the epicenter of San Francisco's Latino culture. The Mission District is full of vibrant murals that offer a visual history lesson featuring themes ranging from cultural heritage to social-political statements. We will take a stroll through the neighborhood to get an up-close experience. Our tours are more than just the food. Our local guides connect the dots between history, culture, and cuisine to provide you with a deep understanding of the Mission District's thriving culinary scene!",76.40,"1-4 hours"
23,"San Francisco Golden Gate Bridge to Sausalito Guided Bike Tour",4.4,591,1.0,0,1,"Sights You Will See: Starting in one of the only true Fishermans Wharfs left in America you will be lead on a journey along the coast to see sea lions, dolphins, military forts, & more.  As you cycle your way over The Golden Gate Bridge, take in the unique topography and skylines that will lead you from one waterfront to the next.  Once over the International Golden Gate Bridge, coast downhill into sunny Sausalito where this tour concludes. Riders can enjoy the town of Sausalito and return at their leisure (ferry tickets sold separately.)",52.03,"1-4 hours"
24,"2-Hour Double Decker City Tour of San Francisco",NULL,0,2.0,0,1,"During this 2-hour tour your English-speaking guide or multi-lingual audio commentary provide fun and informative insights about San Francisco while you enjoy the best city views from the open top bus. The tour is perfect for everyone who wants to explore San Francisco, no matter if you are visiting for the first time or if you have lived in our beautiful city for many years.",62.65,"1-4 hours"
25,"Half Day Shared Walking Tours in Historical San Francisco Pubs",NULL,0,2.0,0,1,"Often the best way to learn the true history of a city is through the stories told by its most iconic bars. Each walking tour will focus on a neighborhood and its flavor, with stops along the way that highlight 4 historic "legacy" designated bars and chances for some local flavor for food and drinks. From the favorite bar of the beat poets to a classic gold miner haunt to a favorite of Anthony Bourdain. You will learn the rich history of each location along the way! Visit classic pubs like Vesuvio, Specs, Saloon and Mr. Bings and a choice of food stops. You will see classic landmarks like the TransAmerica building, Columbus and Coit towers or the Mission Dolores and Clarion Ally murals. You will choose your own food and drinks at each stop according to your own pace (30-60mins) and tastes, non-drinkers have had a great time too. Some spots are cash only. Each tour is designed to be small so you get your own experience and each tour is about 2 miles start to finish with light hills.",33.93,"1-4 hours"
26,"Airplane Napa Valley Flight Tour",5.0,1,1.5,0,1,"Enjoy a safe and breathtaking 1.5-hour aerial tour over the Napa Valley in a modern high wing Cessna or a low wing Piper, both of which are known to optimize viewing and comfort. Fly in the company of an experienced FAA certified Pilot and guide who will help you discover the region and ensure an amazing experience. Fly from Hayward, over downtown Oakland, El Cerrito, and San Pablo Bay. See the beauty of each area on the way towards the Napa Valley, thirty miles long and five miles wide. Discover more than 500 wineries throughout a collection of six quaint towns. View Napa, Yountville, Oakville, Rutherford, St. Helena, and Calistoga from the sky. Each has its own personality and places to discover. From Napa’s urban wine trail to Yountville’s renowned fine dining, to Calistoga’s detoxifying hot springs, there’s something for every kind of traveler, whether you’re an oenophile, foodie, adventurist, or self-care aficionado.",547.67,"1-4 hours"
27,"Mission District Food Tour (Appetizers, Entree, Dessert)",4.8,181,3.0,0,0,"Taste your way through San Francisco’s historic Latin neighborhood, the Mission District, a colorful, cultural, trendy area brimming with great local eats. Following your knowledgeable guide on this 5 Star rated 4-course progressive meal, you'll visit four restaurants with each course served at a different restaurant (2 appetizers, 1 entree, 1 dessert). Along the way, you'll hear the stories of chefs and restaurant owners as well as tales of the neighborhood. You have the option to purchase an alcohol pairing at the time of the tour to enjoy three beverage pairings at each savory stop. Be sure to bring your appetite!",NULL,"1-4 hours"
28,"3-Hour Private Bike Tour in San Francisco",NULL,0,3.0,0,1,"San Francisco is famous for its scenic beauty and cultural attractions, with iconic landmarks like the Golden Gate Bridge. A “must-do” while visiting the foggy city is biking the bridge into sunny Sausalito and taking the ferry back to Fisherman’s Wharf. This guided tour takes about 3 hours, including various stops near essential attractions while our guides provide in-depth narration and stop for photo opportunities at famous sights and hidden gems throughout the tour. The tour begins at our Ghirardelli Square location right at Fisherman’s Wharf and takes you all along Fort Mason, Crissy Field, the Presidio, through the Golden Gate Bridge, and into Sausalito. This beautiful ride gives you stunning views of the bridge – and gives you an unique perspective riding through the Golden City.",377.58,"1-4 hours"
29,"Photo tour of the San Francisco Lights by Tesla / 10 locations",NULL,0,4.0,1,1,"Ready to experience the San Francisco that few tourists can know? I am referring to San Francisco at night, the city is totally different, the lights of the bridges, the buildings combined with a little fog makes the city have a mysterious, melancholic, and at the same time magical energy. Join us on this night adventure where the tourist places will be empty and will be practically just for you. The journey is done in a Tesla model 3 or Y with a glass roof, you will see the city lights fly above your head as if they were shooting stars. We will explore: - The highest hills of the Golden Gate Bridge - The Palace of Fine Arts - The Twin Peaks - Bay Bridge - Yerba Buena Island - Financial district - Ferry Building - Civic Center - The Union painting - The Coit tower. Here we will conclude the tour and appreciate a 360-degree view of San Francisco.",173.99,"1-4 hours"
30,"3 Hour Sightseeing Small Group Guided Tour in San Francisco",NULL,0,3.0,0,1,"As you explore these sightseeing gems in the city, let the spirit of San Francisco unfold before you—a city that seamlessly blends history, culture, and natural wonders into an unforgettable tapestry. Enjoy your journey through the enchanting streets of the City by the Bay! As you embark on your sightseeing adventure a city that enchants with its iconic landmarks, diverse neighborhoods, and unparalleled beauty. Whether you're exploring the bustling Union Square or savoring chocolates at Ghirardelli Square, each of these San Francisco highlights promises a unique and memorable experience, showcasing the city's diversity and charm.",77.43,"1-4 hours"
31,"Private SUV Tour of San Francisco's Movie and TV Locations",NULL,0,3.0,1,1,"This is not your routine bus tour, this is a completely private tour from your party only. You can have up to 6 guests in your party. The tour is an outline of spots we'll see, there are many others including added locations from Vertigo, The Princess Diaries, Guess Who's Coming to Dinner, When A Man Loves A Woman, The Presidio, The Conversation and Play It Again Sam. Tour is flexible, since it is a private tour you can stay longer at a location, or stop at a location if desired (depending on traffic / parking availability).",329.44,"1-4 hours"
32,"The Bay Area Bash Scavenger Hunt",NULL,0,2.0,0,1,"Alley Kat Adventures is an Austin, TX-based event design company offering city scavenger hunts in 30 cities in the US and Mexico as well as custom events worldwide. Our specially hand-crafted, interactive quests are equal parts tour, cultural experience, creative challenge, detective hunt, & social experiment! Guests get to discover hidden gems off the beaten trail while completing fun missions! Throughout the city, find hidden abstract street art involving a repeating pattern by an up-and-coming local artist, find out what is so fascinating about the old Twitter headquarters building, discover Carl the pufferfish in the fish theater at a truly eclectic store you didn’t know you needed in your life, and so much more!",26.76,"1-4 hours"
33,"Point Reyes National Seashore Self Guided Driving Audio Tour",NULL,0,2.0,0,1,"Experience the breathtaking majesty of northern California with this self-guided driving tour of Point Reyes National Seashore. Discover fascinating maritime history at the Point Reyes Lighthouse and the Point Reyes Lifesaving Station, then turn back the clock even further and hear true tales of the famed privateer Sir Francis Drake, who landed on these shores hundreds of years ago! Plus, take a detour up to Tomales Point for even more unforgettable ocean views! After booking, you can check your email before downloading the Action Tour Guide app, enter your unique password, and access your tour. The preceding steps require good internet/wifi access. Simply follow the audio instructions and the route from there. New, extra validity — now, it’s yours for an entire year! Use multiple times over multiple trips! This is not an entrance ticket to attractions along the route. Check opening hours before your visit.",13.29,"1-4 hours"
34,"True Crime Tales from the Haight Walking Tour",4.9,12,2.0,0,1,"Learn about the Haight-Ashbury of the ’70s, a dangerous neighborhood at the epicenter of the Summer of Love. See the homes of serial killers Charles Manson and Jim Jones. Get to know the ghosts of Janis Joplin, Jimi Hendrix, Jefferson Airplane, and more musicians roaming the Haight. Hear true SF crime stories about the Zodiac Killer, the murder of Mayor George Mosone, and the Harvey Milk assassination. Venture into spooky Buena Vista Park, filled with forgotten tombstones.",33.93,"1-4 hours"
35,"Custom and Private Guided Tour with a Luxurious Mercedes in CA",NULL,0,4.0,1,1,"Step into luxury and explore San Francisco like never before with our private, customizable tour in a luxurious Mercedes. Immerse yourself in the beauty of the cityscape as you follow an itinerary tailored to your preferences, whether it's must-see attractions or hidden local gems. Experience the convenience of door-to-door pickup and drop-off, and let me, your guide, provide personalized recommendations to enhance your journey.",348.00,"1-4 hours"
36,"Self-Guided Golden Gate Bridge Bike or Walking App Tour",NULL,0,3.0,0,0,"Unlimited Biking's tour app is the best way to see experience the Golden Gate Bridge and surrounding area on a leisurely bike ride or stroll. We have provided information for each stop along the route. This map is color coded, so you can choose your own adventure! Included in the app are: -The primary tour route where each stop is a notable location along the route to the Golden Gate Bridge with a brief history (written and audio) and fun facts! -Locations from television and movies. See where iconic scenes with some of the biggest stars were filmed -Stops notable for their beauty and photo appeal. Take a snapshot in this location and share with us on social media! -Top recommendations for food in and near the bridge. -Public restroom locations The easy-to-use app is available for Android and iPhone users. Downloading the app is free and by purchasing through Viator, you will receive a code to waive the in-app tour purchase.",4.35,"1-4 hours"
37,"Self Guided Chinatown Tour: Food, History and Culture",NULL,0,1.0,0,0,"Are you looking for a way to explore San Francisco's Chinatown without joining a tour group? Take this self-guided tour led by David Hu, a local and 5th generation Chinese American and 4th generation Japanese American. This tour through one of North America's oldest districts unveils cultural richness and culinary treasures. Visit four special eateries, including the Golden Gate Fortune Cookie Factory and Good Mong Kok Bakery. Explore Chinatown's significance and Bruce Lee's ties to it, and discover stories of the Chinese Exclusion Act's impact. From shopping at Canton Bazaar to exploring the Wok Shop, this tour offers a delightful blend of history, culture, and gastronomy. Get unlimited use of this tour before your booking date and after it. You can use the virtual tour option at home, too. Once you have booked, you will receive instructions and a unique code to download the tour. The app displays directions to the starting point; when you’re in the right place, tap start.",5.21,"1-4 hours"
38,"The Painted Ladies and Victorian Homes of Alamo Square Tour",5.0,11,1.5,0,1,"Alamo Square Park is one of the best-known parks in San Francisco, with views of the city skyline, the Painted Ladies of Postcard Row, the University of San Francisco, and more. This walking tour brings together the historic with the modern in one of the most recognizable places in the world. You’ll learn about the role Alamo Hill played during the 1906 fires, its status as a watering hole before that, and the implications of the Van Ness Ordinance. As we walk around the park, you’ll hear about what makes City Hall so special and get a sense of the different housing styles in this neighborhood that boasts the second-highest concentration of 10,000-square-foot homes in SF. We’ll also explore the William Westerfeld House and the Archbishop’s Mansion. We’ll even get the opportunity to step inside the Historic Chateau Tivoli, one of the grand Victorian homes in Alamo Square. We ended up in the Fillmore District, after visiting Third Baptist Church, the first Black church in the city.",30.45,"1-4 hours"
39,"Ultimate Golden Gate Bridge and SF Bay Explorer Tour",NULL,0,3.0,0,1,"This thrilling one-of-a-kind walking tour doesn’t just visit The Golden Gate Bridge, one of the most famous and beautiful bridges in the world but it immerses you in jaw-dropping scenery that will make you too leave your heart in San Francisco. This world icon has to be seen to be believed - with its spectacular location, graceful lines, Art Deco detailing, and emblematic color, this tour of the most popular iconic American landmark delves deep into the secrets and stories behind the construction of the most famous bridge in the world. With its 746-foot Towers ascending majestically into the sky and over 100 feet beneath the bay, this tour shows you why this engineering marvel is one attraction every visitor to San Francisco has to see.",NULL,"1-4 hours"
40,"Nature's Timeless Tapestry Private Walking Tour in Muir",NULL,0,1.0,0,1,"Embark on a remarkable journey that will transport you to a world of untamed beauty and awe-inspiring landscapes. Majestic Muir: Unveiling Nature's Timeless Tapestry is the ultimate tour for nature enthusiasts and adventure seekers alike. Immerse yourself in the magnificent wonders of John Muir's cherished wild spaces, as you witness towering granite cliffs, cascading waterfalls, and pristine alpine meadows. Traverse through iconic national parks, breathe in the crisp mountain air, and listen to the symphony of nature's harmony. Get ready to explore Muir's playground and experience firsthand the enchantment of nature's timeless tapestry. Don't worry about other people, this tour is completely tailored to you with the app! With our app, you can pause the tour, and check out the locations as long as you want! You can skip a stop you don't like, and you have all the best information about each stop at your fingertips.",17.41,"1-4 hours"
41,"Sunset Distillery with Local Whiskey or Cocktail Tasting",NULL,0,1.5,0,1,"The ultimate experience for locals and visitors alike! Visit the most unique Distillery in the Bay Area and bring home a local souvenir or gift. Here you will taste local award-winning spirits and learn how whiskey is produced. You will also learn the fascinating history of Treasure Island (built in the 1930's for the World's Fair) and the former Pan-Am Airport (which the Distillery now calls home). Truly a one-of-a-kind experience like no other! You can even take a 5 minute scenic ferry ride from the San Francisco Ferry Building which docks directly at our Distillery and Tasting Room.",30.75,"1-4 hours"
42,"San Francisco 49 mile route tour",NULL,0,4.0,1,1,"Sight Sightings tours on San Francisco city including Famous Landmarks . Beautiful routes with a lot information . Safe and professional drivers",386.27,"1-4 hours"
43,"Half Moon Bay Guided E-Bike Tour",5.0,12,2.0,0,1,"Come Ride Half Moon Bay's ocean scenic and historic downtown tour. Ride to all the breathtaking sights, both scenic and historic. Enjoy Half Moon Bay's natural beauty, and see the whole town, including all the attractions on our pedal-assist electric bike ride tour. An experience you won't want to miss! The Half Moon Bay coast side trail is the most gorgeous bike path in California.",90.60,"1-4 hours"
44,"City Tour with Food Stop at Ferry Building + Optional Alcatraz",4.9,79,4.0,0,1,"We have developed this small-group tour to explore the diversity of San Francisco’s distinct neighborhoods, including several amazing photo opportunities in areas off-limits to larger buses. Our local guides will provide interesting stories and history about the cities food culture along with plenty of recommendations and fun facts along the trip! Itinerary 10:00AM – Depart Fisherman’s Wharf 10:00AM –12:30PM – Explore San Francisco’s BEST neighborhoods During this time, you are treated to entertaining stories about the neighborhoods, as well as the food history, diversity, and geographical nuances that make San Francisco one of the most unique cities in the world! We exit the bus several times (10-15 minutes) to soak in the neighborhoods and capture amazing photos! 12:30PM – Have lunch at the Ferry Building for a self guided food and shopping experience through one of our most historical building in the city. 2:00PM - Drop off back at starting location in Fisherman's Wharf",86.13,"1-4 hours"
45,"New Year's Eve Plated Dinner Cruise on San Francisco Bay",3.0,2,4.0,0,0,"Celebrate New Year’s Eve on the Iconic San Francisco Belle for the. This is the hottest spot to ring in the New Year with 3 levels of dancing a huge roof deck to see the fireworks, open cocktail bars throughout the yacht and a plated dinner! Enjoy festive party favors, a boarding photo and DJ entertainment to ring in the New Year!",NULL,"1-4 hours"
46,"Easy Access Coit Tower & Little Italy Landmark Walking Tour",NULL,0,2.5,0,1,"This thrilling one-of-a-kind walking tour doesn’t just visit two of the most fascinating areas of America’s favorite city but immerses visitors in stunning scenery and incredible views from the iconic COIT Tower. This must-see area of Little Italy is bursting with wonderful shops, galleries, bars, and restaurants as well as beautiful parks and scenery. This tour delves deep into the secrets and stories behind the construction of Coit Tower, one of the most unusual landmarks in San Francisco. The tour is led by a first-class expert local guide who will lead the tour group on a discovery walk around the incredible Coit Tower to enjoy some of the best views of San Francisco Bay and the City. The tour also includes a visit to the first floor of the Coit Tower where some of the most beautiful murals depict a 1930's San Francisco. In summary, this tour offers an opportunity to see and discover Little Italy and Coit Tower like a true local.",NULL,"1-4 hours"
47,"Golden Gate Trail: A Presidio Journey in San Francisco",NULL,0,4.0,0,1,"Embark on a journey where you’re the hero exploring the captivating landscapes and rich history of San Francisco. The tour is a treasure trove for the adventurous spirit. Wander through the historic Presidio Officers’ Club, where stories of the past come alive, igniting your imagination. Be mesmerized by Andy Goldsworthy’s masterpieces, ‘Tree Fall’ and ‘Spire,’ blending art with the natural beauty of the Presidio. Reflect on the valorous tales at the San Francisco National Cemetery, a serene haven of history. And, of course, no journey is complete without the iconic Golden Gate Bridge Welcome Center, offering breathtaking views and an unforgettable start to your adventure. This tour isn’t just a trip; it’s a narrative of history, art, and nature crafted around you, the explorer. Join us, and transform your day into an unforgettable saga of discovery and awe!",660.03,"1-4 hours"
48,"San Francisco Photography Tour by Tesla / 10 locations",NULL,0,4.0,1,1,"Get ready to take photos in the most beautiful places in San Francisco. How does it work? It is very simple. We will pick you up at your hotel, as long as it is near fisherman's wharf or near union square, and if it is further away, let us know so we can find a solution, or we can meet at Portsmouth Square 745 Kearny St, San Francisco, CA 94108 (On one side of the statue of democracy). The tours are very small and are carried out in a Tesla model 3 or Y, with capacity for only 4 people. The rides last approximately 3 to 4 hours depending on traffic. You will have 5 to 10 minutes to walk and take your photos calmly at each of the sites. If you want to include a personal photography assistant to help you take the best photos, the cost will be an extra $49 per person.",130.49,"1-4 hours"
49,"Guided Tour of Historic Gold Rush Synagogue",NULL,0,1.0,0,1,"Tour a turn-of-the-century Beaux Arts masterpiece designed by renowned architect Albert Pasis. Featuring a frescoed interior, famous stain glass windows and one of the last operational Murry-Harris organs this is one of the most beautiful rooms in San Francisco. One-of-a-kind tour of interior led by trained guides. You will lean about the history of Jews in San Francisco's gold rush, and see many of the religious artifacts of this still vibrant community and have a chance to revel under the dome of this amazing house of worship.",17.41,"1-4 hours"
50,"San Francisco Chinatown: A Cultural Walking Adventure",NULL,0,2.0,0,1,"Embark on a journey where you become the explorer, uncovering the hidden treasures of San Francisco’s Chinatown on our walking tour. Wander through the bustling streets of Portsmouth Square, pulsating with the rhythms of daily life and cultural practices. Feel the vibrant energy of Stockton Street, a sensory feast of colors, sounds, and tantalizing aromas. Step into the Golden Gate Fortune Cookies Co, where the magic of fortune cookies comes to life in your hands. Stroll down the picturesque Street of the Painted Balconies, capturing memories against a backdrop of artistic beauty. Finally, immerse yourself in the historic and lively ambiance of Grant Avenue. This tour isn’t just a walk; it’s an intimate experience with the soul of one of the most fascinating neighborhoods in the world. Join us and make yourself the hero of your own Chinatown adventure, creating memories that will last a lifetime. Book now and step into the story of San Francisco’s Chinatown.",569.27,"1-4 hours"
51,"San Francisco Instagram Walking Private Tour: Most Iconic Spots",5.0,1,3.0,0,1,"Our San Francisco Walking Instagram Tour will take you to some of the most famous spots in San Francisco in one day by foot! If you are looking for some culture, delicious food and a ton of photos, then this is the tour for you! The morning will start with meeting your friendly guide at the Embarcadero BART Station. From there your tour will begin as you start your walk through San Francisco’s beautiful streets. This half-day tour will be packed with famous landmarks, architecture, secretly located spots and much more! Full schedule 10:00 AM - Meet your guide at the Embarcadaro BART Station 10:20 AM - Get a view of Alcatraz Island from Pier 39 10:50 AM - Explore Fishermans Wharf 11:35 AM - Catch a view of the Golden Gate Bridge 12:20 PM - Explore a secret street in Mission District (Balmy Alley and Clarion Alley) 1:20 PM - Walk around Dolores Park 2:00 PM - Say bye to your guide & get dropped off at the 16th St Mission BART Station",279.27,"1-4 hours"
52,"Alcatraz Night Tour with 1-Day City Bus Tour in San Francisco",NULL,0,3.0,0,0,"At night, Alcatraz prison feels a little bit creepier & perhaps even haunted... but unlike the less personal, only self-guided Day Tour, your small, English only docent-led group at night will learn more history in a less crowded space. Options include cell entry, short talks, special exhibits, & multiple-stop programs unavailable on the Day Tour. The prison comes alive as you see escape displays & cells frozen in time – while you listen to prisoner & guard stories, historic details, & sound effects (in Dutch, English, French, German, Italian, Japanese, Korean, Mandarin, Portuguese, Russian or Spanish). Plus you'll see the best of SF on a 2-hour city loop by open-top bus. The duration can be extended if you choose to hop on and off at various stops. You control the clock. This combo gets you on the infamous Alcatraz Island, while also showing you many other great city attractions, including the Golden Gate Bridge, Victorian homes, the Palace of Fine Arts, & more. You'll love it!",144.13,"1-4 hours"
53,"San Francisco Presidio Scavenger Hunt Walking Tour and Game",NULL,0,3.0,0,1,"Enjoy a guided walking tour of beautiful and interesting parts of San Francisco's Presidio and surrounding area while following clues on your smartphone and solving interesting puzzles along the tour. Play the game on your smartphone with your group as the game guides you along and solve 22 unique challenges along the way. You'll walk about 3 miles along this scavenger hunt tour. Score points for correct answers and try to get the high score on the leaderboard. See major attractions as well as less-known gems of the Presidio and surrounding areas on this unique scavenger hunt and walking tour. Play any time that fits your schedule! There is no in-person guide you have to wait for! Tour the Presidio of San Francisco. See the Golden Gate Bridge, Palace of Fine Arts, and lots of interesting historical sights and markers. Explore at your own pace. Enjoy fun challenges with family and friends. Discover some of San Francisco's hidden gems and historic sights. Perfect for all ages.",34.10,"1-4 hours"
54,"Enchanting Escapades: Surreal San Francisco Tour",NULL,0,2.0,0,1,"Step into the heart of San Francisco’s enchantment with our tour. Experience the city’s vibrant culture and breathtaking views as you become the hero of your own adventure. From the lush landscapes of Dolores Park to the historic Harvey Milk Plaza, each stop is a chapter in the city’s rich tapestry. Ascend Corona Heights for unmatched city panoramas, and wander the quaint streets of Duboce Triangle. This tour isn’t just a journey through San Francisco’s iconic locations; it’s an immersion into the lifeblood of the city itself. Join us, and let the magic of San Francisco transform your day into an unforgettable adventure.",570.20,"1-4 hours"
